From,Edge,To
15085,814,11955
33854,815,7404
57152,816,14913
91239,817,49324
7121,818,90180
66960,819,75930
25978,820,11097
5741,821,62322
97522,822,51795
80760,823,58324
98047,824,85593
28818,825,75898
18835,826,97134
73055,827,29271
63274,828,72561
72585,829,48481
69205,830,6286
54920,831,42391
33431,832,21025
15479,833,22224
7217,834,97759
42111,835,80642
74636,836,92610
68845,837,83908
21897,838,70505
88511,839,45706
71819,840,98999
41876,841,17745
5841,842,74645
42586,843,16986
23997,844,90112
79896,845,56967
72130,846,36462
21249,847,50979
56743,848,86883
76197,849,35101
53861,850,91648
5146,851,40166
91738,852,94025
34403,853,49527
12576,854,3122
88590,855,83233
41470,856,40527
82676,857,56542
88406,858,68179
81405,859,9214
33138,860,57860
66620,861,60669
60298,862,43589
54459,863,77841
71163,864,1163
47930,865,88680
44500,866,93912
2275,867,86099
86087,868,21933
30124,869,29447
5142,870,54672
91565,871,80351
5833,872,94038
77646,873,2540
38406,874,55444
58314,875,61706
37663,876,29670
78606,877,88946
84220,878,65562
79372,879,71971
50182,880,61195
79559,881,7240
83750,882,37488
21262,883,50419
59292,884,8079
3486,885,51076
99775,886,9700
42497,887,20017
89001,888,72970
65769,889,78484
6651,890,75405
762,891,99650
77061,892,20510
22298,893,34812
8052,894,78742
20922,895,9819
85566,896,4985
5369,897,1438
16262,898,29214
33737,899,69116
56138,900,72311
53541,901,60393
9437,902,69029
23261,903,66943
86491,904,76795
24043,905,40050
28671,906,66402
19087,907,97689
86933,908,65911
5480,909,92264
95901,910,9031
30262,911,94771
80819,912,17398
26796,913,7869
69131,914,5981
63457,915,90845
29763,916,27921
34401,917,70693
7650,918,8207
62403,919,7916
58116,920,32094
39591,921,13887
44870,922,82472
30167,923,99357
47532,924,36136
25468,925,8377
34510,926,85437
7307,927,9332
21111,928,3177
61881,929,10634
75614,930,30210
76192,931,58003
88133,932,9524
85768,933,8712
20995,934,27320
65480,935,33921
83770,936,32218
71095,937,39341
89527,938,93861
22113,939,24021
86701,940,21977
61165,941,61652
56256,942,46257
23111,943,24575
13783,944,70416
79514,945,5073
12698,946,73244
6775,947,50691
76352,948,3770
24346,949,14912
94618,950,22681
76923,951,91141
82759,952,52428
11139,953,14805
66871,954,71670
90447,955,25423
49727,956,33694
82025,957,22791
33869,958,43796
81524,959,14064
14016,960,18557
48762,961,70727
75021,962,2137
37614,963,13091
57905,964,6703
66027,965,22480
89338,966,99175
53666,967,80391
88664,968,7191
97996,969,1931
18562,970,49208
22621,971,94701
40178,972,41194
65894,973,42175
59778,974,92227
3088,975,34896
53092,976,18147
28099,977,338
41697,978,74745
23012,979,51797
14566,980,74279
37000,981,60548
84589,982,31856
23199,983,84129
40235,984,5120
48027,985,54651
47018,986,32733
19946,987,69716
96698,988,8848
69092,989,88647
14068,990,69555
87087,991,56945
45220,992,26625
63221,993,16878
53001,994,25310
84107,995,46886
37180,996,10441
8296,997,7203
54763,998,24497
16032,999,60021
45341,1000,97779
75720,1001,39718
80712,1002,49631
96037,1003,29845
49087,1004,4412
11983,1005,40452
74509,1006,85879
20773,1007,59660
30637,1008,12836
36271,1009,10842
20693,1010,18619
49401,1011,87213
30138,1012,17891
67902,1013,20646
83344,1014,25017
28824,1015,61394
30835,1016,40148
63582,1017,84297
36519,1018,70292
20229,1019,96491
83110,1020,982
11172,1021,33343
52906,1022,72874
97995,1023,86262
45892,1024,78927
40058,1025,76648
47335,1026,83358
98935,1027,27004
50098,1028,67251
76205,1029,75661
81678,1030,49626
43499,1031,65713
67573,1032,99056
64243,1033,52407
26562,1034,1382
30217,1035,41754
25317,1036,89959
96443,1037,77421
30111,1038,49424
59352,1039,33381
10374,1040,77586
87351,1041,1332
6508,1042,8914
7610,1043,17898
670,1044,28622
19795,1045,45994
16369,1046,86305
11964,1047,59278
35162,1048,70427
7340,1049,15300
65798,1050,73275
41807,1051,92457
92880,1052,37257
85760,1053,28433
36033,1054,23302
16829,1055,17904
54138,1056,83012
85600,1057,19756
13518,1058,3547
31439,1059,13574
29316,1060,80540
69402,1061,39185
49606,1062,40727
2784,1063,67603
51566,1064,19410
83282,1065,60329
12125,1066,5191
56607,1067,77076
23426,1068,30468
87498,1069,21160
48750,1070,24884
25637,1071,45222
65441,1072,66744
80961,1073,24719
26213,1074,64748
34898,1075,41826
15752,1076,799
85258,1077,16390
34008,1078,42310
70939,1079,5287
7138,1080,23674
11610,1081,90354
6972,1082,51093
1420,1083,18229
24107,1084,92394
55560,1085,54566
31967,1086,34597
86896,1087,61257
92448,1088,87528
38098,1089,14923
59142,1090,32965
32791,1091,75865
36142,1092,11461
64380,1093,50969
31777,1094,64420
52560,1095,4663
30091,1096,7050
15187,1097,37077
44912,1098,85898
31433,1099,3415
5350,1100,94101
69859,1101,95092
45953,1102,92111
15801,1103,26469
43934,1104,93391
11987,1105,39195
69856,1106,3225
98768,1107,97032
69202,1108,44178
67024,1109,34630
38248,1110,27203
95692,1111,22597
85025,1112,50500
96871,1113,38519
93369,1114,42725
59556,1115,83517
77307,1116,59278
44592,1117,82669
48845,1118,77182
87737,1119,13599
64239,1120,59874
84774,1121,95818
65305,1122,53205
42897,1123,93435
1979,1124,4013
91561,1125,10183
69056,1126,44097
23833,1127,38252
72921,1128,54169
25038,1129,9664
66784,1130,95450
43977,1131,46477
21632,1132,88799
99599,1133,8734
73760,1134,5623
24311,1135,19439
66061,1136,29666
10601,1137,95354
18641,1138,4625
69856,1139,37243
27371,1140,55013
34206,1141,4181
71413,1142,32719
17484,1143,67543
86566,1144,55106
92736,1145,70984
74411,1146,74368
31798,1147,95324
42917,1148,53857
31556,1149,15722
88447,1150,21858
50158,1151,11885
56919,1152,52870
73181,1153,77128
79788,1154,69867
31658,1155,89101
88274,1156,37699
42654,1157,41808
46049,1158,18337
19471,1159,54560
61716,1160,85499
73526,1161,34422
4423,1162,51346
83889,1163,51018
82048,1164,35794
11959,1165,34699
49079,1166,96903
69687,1167,24091
33508,1168,4959
37876,1169,91243
26275,1170,4730
43375,1171,78850
72888,1172,86111
32116,1173,24325
76047,1174,31771
84206,1175,33685
98056,1176,14168
25564,1177,42459
92672,1178,77910
43321,1179,27906
88530,1180,78367
23949,1181,48994
48959,1182,21825
77652,1183,49533
90530,1184,78383
36317,1185,85369
24747,1186,27485
19710,1187,89801
11602,1188,50498
7902,1189,8714
341,1190,41959
33430,1191,65618
15840,1192,93875
80101,1193,56995
39879,1194,40450
35391,1195,53566
1789,1196,82894
68315,1197,23474
1007,1198,68940
97625,1199,776
32360,1200,645
17455,1201,73857
49333,1202,24081
69663,1203,92209
58071,1204,73293
65514,1205,46311
50985,1206,64202
9319,1207,46719
8422,1208,76920
55387,1209,2622
42906,1210,82945
84239,1211,95446
94673,1212,29636
7094,1213,15168
90273,1214,6186
33934,1215,68779
44254,1216,16428
80354,1217,49750
16183,1218,64436
23077,1219,61183
18087,1220,12832
37236,1221,38713
15833,1222,29853
23738,1223,31702
59324,1224,94381
17044,1225,29059
90435,1226,84947
55831,1227,9335
81150,1228,24737
58241,1229,47453
40448,1230,21972
42579,1231,96136
58995,1232,27195
81090,1233,76411
61785,1234,64412
1090,1235,12671
28417,1236,27446
77297,1237,49297
59893,1238,67281
30657,1239,3237
18551,1240,94870
12737,1241,68238
45219,1242,23294
23119,1243,44387
60228,1244,29723
40330,1245,74667
72143,1246,74828
68510,1247,59622
58859,1248,13262
15463,1249,86718
99355,1250,4801
6651,1251,16901
65841,1252,66514
99447,1253,53608
99213,1254,45662
59878,1255,14950
1395,1256,92242
84490,1257,77299
41342,1258,16464
37577,1259,15688
6859,1260,33029
18198,1261,77165
14291,1262,78830
26724,1263,55508
14933,1264,74888
91203,1265,63930
46263,1266,53729
43640,1267,59643
67760,1268,97518
63941,1269,71801
59834,1270,25271
74528,1271,41228
67807,1272,16676
1393,1273,88339
89422,1274,74979
28658,1275,9671
20337,1276,11569
8659,1277,79851
55728,1278,5539
85313,1279,81573
11661,1280,80444
95884,1281,96393
91961,1282,92634
90532,1283,80443
23995,1284,49299
24420,1285,18727
56296,1286,48743
48380,1287,44703
96158,1288,4726
56772,1289,32312
56209,1290,75671
3811,1291,81626
9786,1292,3376
79939,1293,13813
37621,1294,32836
50915,1295,61102
59871,1296,19185
17338,1297,83678
33293,1298,94675
31188,1299,79624
12714,1300,95695
50231,1301,59449
72545,1302,67435
88945,1303,42536
19274,1304,77708
11517,1305,17843
30233,1306,31626
15795,1307,33281
29698,1308,61908
70552,1309,43745
89258,1310,60878
20229,1311,46950
25595,1312,3983
73726,1313,3619
30613,1314,28738
14971,1315,38183
29880,1316,77845
95923,1317,99826
83374,1318,96343
34477,1319,5511
32323,1320,66330
30845,1321,58090
94803,1322,91258
58013,1323,87578
6797,1324,848
85668,1325,49952
21543,1326,83092
9674,1327,40186
33578,1328,48099
94170,1329,43729
63232,1330,45181
52888,1331,19688
93935,1332,7131
83692,1333,92956
46713,1334,60692
2698,1335,75540
74364,1336,79635
93106,1337,3310
11291,1338,67579
25108,1339,48907
37691,1340,81630
35107,1341,29568
9734,1342,4336
42237,1343,36536
78117,1344,66243
3031,1345,86502
27039,1346,91007
72048,1347,84953
68173,1348,72955
30208,1349,39058
61402,1350,19486
4511,1351,85364
96966,1352,42741
34085,1353,28507
91397,1354,65353
3516,1355,49169
504,1356,94208
22031,1357,12966
84453,1358,57750
27167,1359,76493
9928,1360,95717
43440,1361,6369
77109,1362,24149
43656,1363,13359
3740,1364,6228
85804,1365,2787
62134,1366,71866
4072,1367,30744
30113,1368,14606
93688,1369,40086
56628,1370,71754
32730,1371,57441
80970,1372,52172
23720,1373,98232
43601,1374,24188
5081,1375,47723
5670,1376,6936
4820,1377,98867
9463,1378,85864
25296,1379,43198
48075,1380,14895
32993,1381,30505
90259,1382,60282
71487,1383,46398
40104,1384,75668
26870,1385,36448
24239,1386,48028
62855,1387,95050
8642,1388,98591
90265,1389,58751
3331,1390,42445
899,1391,35586
56582,1392,53610
38285,1393,1263
36859,1394,3557
19722,1395,7557
56798,1396,50099
25628,1397,36470
56019,1398,79126
71002,1399,88685
36361,1400,63537
94009,1401,78795
97273,1402,29420
29028,1403,2795
5440,1404,79095
33869,1405,70210
1304,1406,30755
58698,1407,11381
51495,1408,78840
85490,1409,96681
2047,1410,42610
6214,1411,39673
15767,1412,22794
63807,1413,92120
75897,1414,44150
35811,1415,38229
67436,1416,69807
58999,1417,10369
86273,1418,8067
71853,1419,15985
54731,1420,68570
68782,1421,74357
31509,1422,49353
33463,1423,17332
51604,1424,93336
99323,1425,18288
62828,1426,64370
67883,1427,6738
52405,1428,17538
93954,1429,7598
22848,1430,71068
81109,1431,74910
87930,1432,5282
92918,1433,87812
65532,1434,30767
1704,1435,95135
35496,1436,20251
81335,1437,14717
96235,1438,65846
26613,1439,31898
53567,1440,88879
46824,1441,37692
9339,1442,81318
39161,1443,96421
45185,1444,7223
93304,1445,40504
32339,1446,28102
53580,1447,58714
14403,1448,5356
35883,1449,45941
76702,1450,30825
18696,1451,37611
1470,1452,57347
56365,1453,99635
6586,1454,16528
80561,1455,40068
86042,1456,49576
33371,1457,33869
36234,1458,32349
7011,1459,42620
205,1460,80866
35576,1461,50659
49745,1462,11770
6168,1463,86961
11422,1464,63107
79739,1465,38189
19282,1466,14
46876,1467,33986
70418,1468,47127
1998,1469,59064
43659,1470,49239
7509,1471,48808
55119,1472,19011
14074,1473,92802
85587,1474,17512
17228,1475,57321
2156,1476,54145
82002,1477,76732
86474,1478,48656
95058,1479,286
59714,1480,71754
48054,1481,78701
42521,1482,32098
97553,1483,39162
46468,1484,87537
70047,1485,54569
55610,1486,83117
47597,1487,61500
94737,1488,86730
27999,1489,16092
12380,1490,2947
38408,1491,17938
65662,1492,64093
80923,1493,95473
52328,1494,57157
1874,1495,54284
1819,1496,33441
11701,1497,45004
16710,1498,94611
82470,1499,89138
98392,1500,65967
44556,1501,10942
74931,1502,9434
99365,1503,39347
59162,1504,64863
48018,1505,76934
33893,1506,92243
21870,1507,12645
9328,1508,99673
94986,1509,62960
40066,1510,30650
99866,1511,11159
22724,1512,32716
96910,1513,63905
89741,1514,74526
91498,1515,40854
18431,1516,51229
92710,1517,26523
62595,1518,51084
50771,1519,83252
49250,1520,69299
65259,1521,56278
46089,1522,40049
48890,1523,45425
28908,1524,60521
14040,1525,97399
85190,1526,41058
49559,1527,57691
74277,1528,31581
54421,1529,16994
24764,1530,12932
75997,1531,57673
29886,1532,89790
19958,1533,54317
42481,1534,48580
36047,1535,22492
91180,1536,24155
54267,1537,60454
31419,1538,19404
15415,1539,43067
68287,1540,88884
568,1541,10396
85462,1542,4282
81390,1543,4211
40539,1544,44429
97178,1545,82579
97550,1546,99919
84375,1547,37917
99207,1548,50773
88235,1549,89745
84058,1550,5349
61568,1551,77617
6789,1552,86566
60116,1553,95836
68145,1554,14719
34210,1555,86618
10706,1556,92158
45309,1557,35390
25560,1558,79286
65656,1559,19457
99352,1560,2926
95092,1561,9473
66144,1562,61932
86916,1563,33522
97765,1564,49885
4099,1565,46823
20167,1566,87038
52286,1567,83958
27706,1568,68797
52556,1569,51858
30140,1570,96735
10648,1571,67271
7139,1572,71955
88926,1573,74708
62119,1574,419
78794,1575,31878
392,1576,70291
16188,1577,19479
72652,1578,5634
71774,1579,35123
22203,1580,47177
91329,1581,79591
22293,1582,22092
25092,1583,51609
34528,1584,4900
79825,1585,58332
52858,1586,16668
49287,1587,79162
13690,1588,36337
75955,1589,17089
26795,1590,51256
30526,1591,87269
61699,1592,19212
66499,1593,74689
93568,1594,36488
97027,1595,75775
70062,1596,88092
80581,1597,42703
52617,1598,89636
85719,1599,53501
63346,1600,15781
4141,1601,51148
80173,1602,57416
87824,1603,53709
90771,1604,69505
54859,1605,85458
58539,1606,63533
80393,1607,79742
77094,1608,93923
44182,1609,3139
58242,1610,61891
69329,1611,51527
45156,1612,59546
63688,1613,63507
98968,1614,61012
30437,1615,6578
6004,1616,53888
37819,1617,28993
43270,1618,11200
24581,1619,88937
80903,1620,75467
23039,1621,77813
86971,1622,44621
89445,1623,46700
34274,1624,89830
89639,1625,37915
89537,1626,59180
39685,1627,92868
63508,1628,42244
40550,1629,11291
2879,1630,93826
7627,1631,42242
68097,1632,77897
49832,1633,18874
69323,1634,20975
54399,1635,82352
98950,1636,44438
51625,1637,81256
43937,1638,32668
16785,1639,13558
57789,1640,60864
15834,1641,80873
52670,1642,79656
59587,1643,39610
68400,1644,12222
97084,1645,50489
91890,1646,24373
39806,1647,56261
86032,1648,53675
72921,1649,81061
6655,1650,78396
55892,1651,39131
34668,1652,15067
18503,1653,48035
8480,1654,23295
54326,1655,11480
50314,1656,74815
67564,1657,47857
82752,1658,37021
58388,1659,56620
91723,1660,93926
83789,1661,6885
91695,1662,47001
95245,1663,63642
79520,1664,86091
11500,1665,53082
36563,1666,70841
8951,1667,2000
66796,1668,63223
31165,1669,63621
